epoch,train_loss,val_loss,aucpr,accuracy,time,baseline_pos_rate,ap_uplift,prec@50,rec@50,prec@100,rec@100,prec@200,rec@200
1,0.041895317953339846,0.022985223525514204,0.010795906379259916,,12.466225624084473,0.005323868677905945,2.0278310815709877,0.04,0.03333333333333333,0.03,0.05,0.025,0.08333333333333333
2,0.027681997760610526,0.010855018200042347,0.009635334141026655,,12.774797916412354,0.005323868677905945,1.8098369294895067,0.0,0.0,0.0,0.0,0.01,0.03333333333333333
3,0.02489576824442592,0.009395753615535796,0.022948362923450528,,11.809505462646484,0.005323868677905945,4.310467502454791,0.04,0.03333333333333333,0.03,0.05,0.015,0.05
4,0.01943962180683779,0.010243772022173895,0.03708652374137209,,12.019443988800049,0.005323868677905945,6.966085376087725,0.06,0.05,0.05,0.08333333333333333,0.03,0.1
5,0.018164954278184924,0.009688849594870893,0.041742077683575775,,11.928215742111206,0.005323868677905945,7.8405535915649835,0.08,0.06666666666666667,0.04,0.06666666666666667,0.045,0.15
6,0.016950989207036273,0.013465972688815478,0.045904792059583074,,11.943413972854614,0.005323868677905945,8.62245010852502,0.06,0.05,0.04,0.06666666666666667,0.065,0.21666666666666667
7,0.015466983278476915,0.010340734378890678,0.0593366932088685,,12.521154403686523,0.005323868677905945,11.145408874399134,0.04,0.03333333333333333,0.07,0.11666666666666667,0.04,0.13333333333333333
8,0.016342175128154977,0.011868874142237473,0.02599966728728615,,11.38355827331543,0.005323868677905945,4.8836041721285826,0.0,0.0,0.06,0.1,0.055,0.18333333333333332
9,0.016225311179580384,0.01186346897641973,0.050540554411706344,,11.763590097427368,0.005323868677905945,9.49320080366551,0.04,0.03333333333333333,0.04,0.06666666666666667,0.065,0.21666666666666667
10,0.013828204479068518,0.01306788261475352,0.03779020772622537,,11.81291675567627,0.005323868677905945,7.098260684575999,0.02,0.016666666666666666,0.04,0.06666666666666667,0.07,0.23333333333333334
