epoch,train_loss,val_loss,aucpr,accuracy,time,baseline_pos_rate,ap_uplift,prec@50,rec@50,prec@100,rec@100,prec@200,rec@200
1,0.0380121371817103,0.0251458020259936,0.0034930612804267,,11.836605310440063,0.0053238686779059,0.6561133438401664,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0247465882825646,0.0105704173417204,0.0077854376219592,,11.63508939743042,0.0053238686779059,1.4623646999913495,0.0,0.0,0.01,0.0166666666666666,0.015,0.05
3,0.0894951190302679,0.0061828551624785,0.0093278247344397,,11.090376615524292,0.0053238686779059,1.7520764126189303,0.0,0.0,0.01,0.0166666666666666,0.015,0.05
4,0.0536003083093525,0.0055491189705207,0.0152266968303084,,12.013957262039185,0.0053238686779059,2.8600812212929414,0.06,0.05,0.05,0.0833333333333333,0.03,0.1
5,0.0422866229985862,0.0059393173044857,0.013920116171163,,13.114050149917604,0.0053238686779059,2.6146618208167878,0.06,0.05,0.05,0.0833333333333333,0.025,0.0833333333333333
6,0.0371671085310883,0.0063642305516016,0.0169807375731283,,11.348516941070557,0.0053238686779059,3.1895485408192745,0.06,0.05,0.05,0.0833333333333333,0.025,0.0833333333333333
7,0.0350334372555533,0.0067678823058183,0.0272014920123774,,11.265708208084106,0.0053238686779059,5.109346916324891,0.04,0.0333333333333333,0.05,0.0833333333333333,0.03,0.1
8,0.0336996136438967,0.0071049880546828,0.0320801268750877,,11.241631031036375,0.0053238686779059,6.025717164703975,0.08,0.0666666666666666,0.06,0.1,0.04,0.1333333333333333
9,0.0323494036443704,0.0074050237890332,0.0342699244454483,,11.142468452453612,0.0053238686779059,6.437034141670051,0.08,0.0666666666666666,0.05,0.0833333333333333,0.035,0.1166666666666666
10,0.0318730544883671,0.0076904376619495,0.0428812400209089,,11.187322854995728,0.0053238686779059,8.054526250594062,0.08,0.0666666666666666,0.05,0.0833333333333333,0.035,0.1166666666666666
11,0.031174641633189695,0.007940021227113903,0.01948350944159834,,10.700712203979492,0.005323868677905945,3.6596525234468884,0.04,0.03333333333333333,0.03,0.05,0.03,0.1
12,0.03093296987394434,0.008177047517771522,0.01580704442543083,,10.581154346466064,0.005323868677905945,2.9690898445767573,0.0,0.0,0.02,0.03333333333333333,0.01,0.03333333333333333
13,0.03032305623881172,0.008429696395372352,0.016239178234467876,,10.787689924240112,0.005323868677905945,3.0502589783742162,0.0,0.0,0.0,0.0,0.0,0.0
14,0.029810734575094526,0.00871376161618779,0.0168848201287199,,10.951897621154785,0.005323868677905945,3.1715320475112216,0.0,0.0,0.0,0.0,0.0,0.0
15,0.028545166317070294,0.007060302809501688,0.01754985966682011,,10.98668622970581,0.005323868677905945,3.296448640751044,0.0,0.0,0.0,0.0,0.0,0.0
16,0.031145288056672313,0.008725893470303467,0.023478721672482973,,10.437177658081055,0.005323868677905945,4.410086554148052,0.0,0.0,0.01,0.016666666666666666,0.015,0.05
17,0.028687944489552877,0.011009984513899932,0.02421440561608829,,10.892403364181519,0.005323868677905945,4.54827252155525,0.0,0.0,0.02,0.03333333333333333,0.02,0.06666666666666667
18,0.026699843821873844,0.010599418776109815,0.03217040048930329,,11.556439399719238,0.005323868677905945,6.042673558574134,0.0,0.0,0.03,0.05,0.045,0.15
19,0.025683173406219412,0.012574664142448455,0.025502303153171365,,10.8607759475708,0.005323868677905945,4.790182608937355,0.02,0.016666666666666666,0.02,0.03333333333333333,0.025,0.08333333333333333
20,0.024831299253111314,0.011957365476215879,0.029558195443304184,,10.487073183059692,0.005323868677905945,5.552014377433969,0.02,0.016666666666666666,0.01,0.016666666666666666,0.03,0.1
