Dataset,ROC AUC,Precision,Recall,F1-Score
Validation,0.9247844186738032,0.03152916447714135,1.0,0.061130922058074376
Validation (Smoothed),0.9247844186738032,0.0322061191626409,1.0,0.062402496099843996
Test,0.7266248435448911,0.023923444976076555,0.5,0.045662100456621
Test (Smoothed),0.7266248435448911,0.02592912705272256,0.5,0.049301561216105176
