epoch,train_loss,val_loss,aucpr,accuracy,time,baseline_pos_rate,ap_uplift,prec@50,rec@50,prec@100,rec@100,prec@200,rec@200
1,0.044999292163654815,0.013585756765678525,0.006913526831675142,,15.555670499801636,0.005323868677905945,1.298590789882981,0.0,0.0,0.0,0.0,0.005,0.016666666666666666
2,0.027550075917916243,0.011974542556951443,0.07119081549022041,,15.077421426773071,0.005323868677905945,13.372008176246402,0.1,0.08333333333333333,0.05,0.08333333333333333,0.04,0.13333333333333333
3,0.024210035627664522,0.010746827135638645,0.05656461856697718,,15.110206365585327,0.005323868677905945,10.624720854163881,0.08,0.06666666666666667,0.05,0.08333333333333333,0.055,0.18333333333333332
4,0.02169784027433326,0.007502825838552478,0.041981077670050805,,15.108476161956787,0.005323868677905945,7.88544575569121,0.1,0.08333333333333333,0.05,0.08333333333333333,0.04,0.13333333333333333
5,0.01838130710733145,0.010029301808875365,0.04696031666626141,,15.151121616363525,0.005323868677905945,8.820712813812769,0.06,0.05,0.04,0.06666666666666667,0.05,0.16666666666666666
6,0.017181431528094204,0.010671213574823923,0.025100165381792265,,15.379108667373657,0.005323868677905945,4.714647730879981,0.0,0.0,0.0,0.0,0.015,0.05
7,0.01611295081458466,0.010090920695802197,0.030401047399135184,,15.079511404037476,0.005323868677905945,5.710330069804225,0.0,0.0,0.0,0.0,0.02,0.06666666666666667
8,0.015201707890387191,0.010269998167738473,0.030395893546450926,,15.090782403945923,0.005323868677905945,5.709362004475032,0.0,0.0,0.0,0.0,0.015,0.05
9,0.014811367045568173,0.010501282037391016,0.03476402997254824,,15.157387495040894,0.005323868677905945,6.529843629843644,0.0,0.0,0.02,0.03333333333333333,0.025,0.08333333333333333
10,0.014713727749970764,0.01122558039787691,0.03345076844974821,,15.199913501739502,0.005323868677905945,6.283169340477706,0.0,0.0,0.02,0.03333333333333333,0.025,0.08333333333333333
