epoch,train_loss,val_loss,aucpr,accuracy,time,baseline_pos_rate,ap_uplift,prec@50,rec@50,prec@100,rec@100,prec@200,rec@200
1,0.05204523193735288,0.06004389366452498,0.010604273273229268,0.48698317734865537,166.86022281646729,0.005331121904987561,1.9891260155406278,0.0,0.0,0.0,0.0,0.0,0.0
2,0.029561636019572318,0.05477858515951084,0.009426828517378319,0.6136861746238598,126.84593343734741,0.005331121904987561,1.7682635447820085,0.0,0.0,0.0,0.0,0.0,0.0
3,0.017120142166773638,0.024541236452850255,0.011833232143481167,0.8620868380523634,126.85812592506409,0.005331121904987561,2.219651389402767,0.0,0.0,0.0,0.0,0.0,0.0
4,0.011483863560089552,0.02261796102552718,0.01150898976355279,0.8937922047150811,126.58698606491089,0.005331121904987561,2.1588307243144245,0.0,0.0,0.0,0.0,0.0,0.0
5,0.00944336330373419,0.023719658269328647,0.011348811070335465,0.9047802393081389,124.73508191108704,0.005331121904987561,2.12878476099337,0.0,0.0,0.0,0.0,0.0,0.0
6,0.007063460858878253,0.018595363813677646,0.01026992142774446,0.9406024167752636,124.0924699306488,0.005331121904987561,1.9264090393686883,0.0,0.0,0.0,0.0,0.0,0.0
7,0.005255229307563078,0.024227471667183472,0.01009846562593228,0.9378331951190617,124.15977644920349,0.005331121904987561,1.8942477410776526,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0040849776265111225,0.027250878983362658,0.009804296095376929,0.9258085534889231,124.92390203475952,0.005331121904987561,1.8390680742461478,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0036587010322563515,0.01162582058787214,0.008197256940377609,0.9796084587134226,124.41055488586426,0.005331121904987561,1.5376232407494976,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0029116639996363053,0.020721963377306536,0.007746977350140184,0.9618232436915057,172.20345306396484,0.005331121904987561,1.453160795834073,0.0,0.0,0.0,0.0,0.0,0.0
