epoch,train_loss,val_loss,aucpr,accuracy,time,baseline_pos_rate,ap_uplift,prec@50,rec@50,prec@100,rec@100,prec@200,rec@200
1,0.03872238402796346,0.027761348523199558,0.010129590411608895,,11.50428056716919,0.005323868677905945,1.9026747323138709,0.0,0.0,0.0,0.0,0.0,0.0
2,0.027708915906936624,0.012105166601637999,0.031214277757327605,,10.66417145729065,0.005323868677905945,5.863081838751369,0.04,0.03333333333333333,0.04,0.06666666666666667,0.03,0.1
3,0.024765322526353738,0.014301900829498967,0.050134984825986224,,11.206173419952393,0.005323868677905945,9.41702131648108,0.06,0.05,0.09,0.15,0.085,0.2833333333333333
4,0.02193986160983873,0.010950302394727865,0.05055199648956792,,10.605782747268677,0.005323868677905945,9.495350007290508,0.02,0.016666666666666666,0.05,0.08333333333333333,0.075,0.25
5,0.021289580956447954,0.012725791544653475,0.047177849140009186,,11.14848256111145,0.005323868677905945,8.86157266346506,0.04,0.03333333333333333,0.07,0.11666666666666667,0.09,0.3
6,0.020285918463974498,0.011597865144722164,0.033723062995069074,,11.27217149734497,0.005323868677905945,6.334315332573808,0.0,0.0,0.01,0.016666666666666666,0.05,0.16666666666666666
7,0.020401131849042898,0.013909819109054903,0.033572825267969106,,11.186100482940674,0.005323868677905945,6.3060956795001974,0.02,0.016666666666666666,0.02,0.03333333333333333,0.04,0.13333333333333333
8,0.019372318113266035,0.014925086676763991,0.034951298898531595,,11.483582973480225,0.005323868677905945,6.565018976440852,0.02,0.016666666666666666,0.02,0.03333333333333333,0.05,0.16666666666666666
9,0.018951336062664904,0.018286429500828188,0.03158271783380945,,10.682611227035522,0.005323868677905945,5.932287166450542,0.02,0.016666666666666666,0.02,0.03333333333333333,0.02,0.06666666666666667
10,0.018968583171277545,0.011839825039108595,0.03611655701303308,,12.718647956848145,0.005323868677905945,6.783893292281381,0.02,0.016666666666666666,0.02,0.03333333333333333,0.02,0.06666666666666667
11,0.018769258286717327,0.012400179829758903,0.03435210859051558,,11.81753945350647,0.005323868677905945,6.452471063585177,0.02,0.016666666666666666,0.02,0.03333333333333333,0.015,0.05
12,0.01789984369087358,0.012329179075701783,0.0323432405839838,,10.958524703979492,0.005323868677905945,6.075138689691625,0.0,0.0,0.02,0.03333333333333333,0.015,0.05
13,0.018036859239949736,0.011035125702619553,0.030413502973302815,,11.096099615097046,0.005323868677905945,5.712669641818713,0.0,0.0,0.02,0.03333333333333333,0.02,0.06666666666666667
14,0.01712993026689388,0.014241962305580577,0.02970026303050948,,11.651072025299072,0.005323868677905945,5.578699405897365,0.0,0.0,0.02,0.03333333333333333,0.015,0.05
15,0.01646081472985273,0.013190937655357024,0.030393838467765777,,11.134751796722412,0.005323868677905945,5.708975992195339,0.0,0.0,0.02,0.03333333333333333,0.015,0.05
16,0.016318159134582032,0.015974229395699997,0.023655376139154756,,10.948378324508667,0.005323868677905945,4.443268151471235,0.0,0.0,0.01,0.016666666666666666,0.015,0.05
17,0.01660278715669762,0.01704859163146466,0.024101183083166913,,11.004563093185425,0.005323868677905945,4.527005555788185,0.0,0.0,0.01,0.016666666666666666,0.015,0.05
18,0.015920183004075012,0.01250362202214698,0.027548920865118124,,10.767744302749634,0.005323868677905945,5.174605635831354,0.0,0.0,0.02,0.03333333333333333,0.015,0.05
19,0.015334015159846046,0.01568468768770496,0.023736044503530687,,10.715569257736206,0.005323868677905945,4.458420359246515,0.0,0.0,0.0,0.0,0.015,0.05
20,0.01490493602834122,0.014585620956495404,0.026595902035812764,,10.740150213241577,0.005323868677905945,4.9955969323934974,0.0,0.0,0.01,0.016666666666666666,0.015,0.05
21,0.014811270003921764,0.014280756236985326,0.02483941574776108,,11.747257232666016,0.005323868677905945,4.6656702579544564,0.0,0.0,0.01,0.016666666666666666,0.015,0.05
