epoch,train_loss,val_loss,aucpr,accuracy,time,baseline_pos_rate,ap_uplift,prec@50,rec@50,prec@100,rec@100,prec@200,rec@200
1,0.02440662060452755,0.013638471136800945,0.03677524806388763,,13.18883728981018,0.005323868677905945,6.9076174280002265,0.04,0.03333333333333333,0.04,0.06666666666666667,0.04,0.13333333333333333
2,0.02235367512980173,0.013013975888801118,0.033041671074451044,,13.236674547195435,0.005323868677905945,6.206327216817721,0.02,0.016666666666666666,0.02,0.03333333333333333,0.05,0.16666666666666666
3,0.020269858488423186,0.017621882958337665,0.03137764269940943,,13.439040184020996,0.005323868677905945,5.893767220372405,0.02,0.016666666666666666,0.03,0.05,0.055,0.18333333333333332
4,0.020337668788987538,0.014061828531945745,0.04015319341080008,,12.859286069869995,0.005323868677905945,7.542108162328615,0.02,0.016666666666666666,0.02,0.03333333333333333,0.035,0.11666666666666667
5,0.020131620437686525,0.014006437500938773,0.03754953281147687,,12.826848030090332,0.005323868677905945,7.053053913089072,0.12,0.1,0.07,0.11666666666666667,0.05,0.16666666666666666
6,0.019260929420936938,0.012801590763653318,0.050529388802030305,,12.878889322280884,0.005323868677905945,9.491103529981359,0.08,0.06666666666666667,0.06,0.1,0.055,0.18333333333333332
7,0.01708512198786403,0.011706125864293426,0.02535036357753681,,16.050419330596924,0.005323868677905945,4.761643291980665,0.0,0.0,0.01,0.016666666666666666,0.01,0.03333333333333333
8,0.018127466443666192,0.01964709651656449,0.016751778543336406,,14.364099502563477,0.005323868677905945,3.146542403056688,0.0,0.0,0.0,0.0,0.005,0.016666666666666666
9,0.01813065185926335,0.015049793330642084,0.023631139185275533,,15.531826496124268,0.005323868677905945,4.4387156436342545,0.0,0.0,0.01,0.016666666666666666,0.02,0.06666666666666667
10,0.01733233803493339,0.012189729469052205,0.02313306108035712,,15.381959199905396,0.005323868677905945,4.345159972927079,0.0,0.0,0.01,0.016666666666666666,0.01,0.03333333333333333
